"pew_religimp","pew_churatd","sex","educ","nonwhite","age","faminc_new","pid3","ideo5","QueerPhobia","ImmiPhobia","InterGBiasParty","InterGBiasCand","InterGBiasSup","LibMediaUse","ConMediaUse","Real_Threat","Symb_Threat","Evaluation","teamweight","caseid"
1,4,"2",4,"1",55,9,"3",4,3.66666666666667,2.5,53,93,93,1,1,4.25,4.14285714285714,"2",1.21873066796847,1237747127
2,5,"1",2,"1",72,8,"2",5,5,4.5,60,100,99,1,2.66666666666667,5,4.85714285714286,"2",1.32018936090903,1237748749
4,6,"2",3,"2",64,3,"3",5,4,3,40,90,48,1,1.66666666666667,4.25,4.28571428571429,"2",0.834593157745497,1237809455
1,2,"2",3,"2",59,8,"2",3,3,4.5,99,99,99,3,4.33333333333333,5,5,"2",0.834593157745497,1237810473
4,5,"1",4,"1",40,6,"3",2,1,1,-78,-81,-90,2.66666666666667,1.66666666666667,4.25,5,"0",1.2427188014491,1237854765
4,6,"2",2,"1",47,5,"3",6,1,3,0,-24,-72,1,1,2,2,"0",0.509950488059943,1237856831
3,6,"2",2,"1",71,4,"2",4,3.66666666666667,2.5,75,100,100,1,2,5,5,"2",1.06641411116284,1237858437
4,5,"1",6,"1",28,12,"3",5,3.66666666666667,3.5,37,4,2,1,1,1,1,"3",0.548334727593061,1237899805
1,2,"2",5,"1",55,9,"1",2,4.33333333333333,4.5,33,56,41,4,4,1,1,"2",0.852380503966956,1237901413
4,6,"1",4,"2",31,6,"1",1,1,1,-53,-30,-51,3.33333333333333,2.66666666666667,5,5,"0",0.996677003686559,1237905043
1,2,"1",4,"1",64,97,"3",5,4.33333333333333,4,88,88,50,1,2.66666666666667,4.25,4.71428571428571,"2",0.955206883442232,1237909781
1,1,"2",5,"1",54,10,"1",1,1,1,-91,-90,-100,6,1,5,5,"0",0.852380503966956,1237941487
1,2,"1",6,"1",43,11,"3",3,2.33333333333333,1,-79,-99,-40,4,2.66666666666667,4,4,"0",0.668922720206947,1237955649
1,5,"2",3,"1",58,6,"1",2,3.33333333333333,2.5,-98,-99,-98,3.66666666666667,1.33333333333333,5,4.28571428571429,"0",0.873552496252135,1237959003
1,1,"2",3,"2",73,97,"1",3,2,2.5,-85,-92,-81,5,1.66666666666667,4.25,4.14285714285714,"0",0.916333890938119,1237960493
4,6,"2",3,"1",59,2,"1",1,1,1,-78,-97,-98,4.66666666666667,1.33333333333333,5,5,"0",0.873552496252135,1238013081
